timestamp,transactionHash,maker_address,market_slug,outcome,side,price,size,volume_usd,market_title
1766188101,0xde83d2c8faa30181a078c19a67df5f08963a7bf476b9077094855a22115b2b98,0x5f24208bdf25b864b3980164b971a9d621f359e7,cbb-coppst-navy-2025-12-19,Navy Midshipmen,SELL,0.999,121.37,121.24863,Coppin State Eagles vs. Navy Midshipmen
1766188101,0x6f19b09d4f65779d39bd84665d0929c89666c0e04d1f813be5f509868341b8be,0xbb6df1409c5b292fd72f49172838f795de062951,bitcoin-above-96k-on-december-20,No,SELL,0.999,86.08,85.99392,Will the price of Bitcoin be above $96.000 on December 20?
1766188099,0xbc901fe931eb3ee11f0d8e720b01c03973e0a9bdc46242f5a831c09838392bfc,0xca52446eaad30e546f344849ae1afd92eb360cdf,will-any-google-gemini-3-model-score-at-least-1500-on-lmarena-by-december-31,No,SELL,0.966,103.45,99.9327,Will any Google Gemini 3 model score at least 1500 on LMArena by December 31?
1766188099,0xbfbfb7817e9622791b187a3b9de19e26388e72f372ecf5a29b487d5609f22809,0x733abc45ad43e8280f32e6b7429713b0372a8b85,will-the-fight-end-in-another-outcome,Yes,BUY,0.036314074360334424,2753.753242,99.99999999999999,Will Jake Paul vs. Anthony Joshua have no official winner?
1766188099,0xbdb56e0f5dd00500d4e1899af32e4b11ffbdf3cb143ea9b1c1b51092d16b6213,0xd9e76753bd90422f9d056c7af80f4a7b33f84dc1,cbb-sdkst-wbd-2025-12-19,South Dakota State Jackrabbits,SELL,0.13601255037732277,369.71,50.285199999999996,South Dakota State Jackrabbits vs. Milwaukee Panthers
1766188099,0x6572771b64ec3b01de7a54bc04682f54a7ff52f91b326653388d44317a9337d9,0xafb8523f97af6a310d9c03d4290a81c09c3bd9c1,hok-wb-agsp-2025-12-19-game3,AG Super Play,BUY,0.999,1486,1484.514,Honor of Kings: Weibo Gaming vs AG Super Play - Game 3 Winner
1766188097,0xe6f590a723d24089afb39060abc706776c979915b62178cb75699a648464a6f6,0x080a53ccb5caf5949d2e67074e8629fe1f249da4,eth-updown-15m-1766187900,Down,BUY,0.59,113,66.67,Ethereum Up or Down - December 19. 6:45PM-7:00PM ET
1766188193,0xa7a66c4f1785014e88ff4a4d8be5c45992a0349b2c5755d9593c7bab7e282b86,0x661ee4b0a2fa5c6a4f6c278c053eaa74c47481d6,nba-okc-min-2025-12-19,Thunder,BUY,0.7199999981999999,111.11111,79.99999899999999,Thunder vs. Timberwolves
1766188193,0xa3c5e9db77b158f35c1a06d880a9535b36b5e6b2ce6b7489f4a482ae0a456b33,0x270ac6446df63831db948af1756b50402f1be701,bitcoin-above-80k-on-december-20,Yes,BUY,0.999,169.329,169.159671,Will the price of Bitcoin be above $80.000 on December 20?
1766188193,0xf9185566b02bc0be9fb08866c8c164244d61f51f134b92f2d2d674bd0b4eddb2,0x301a6364eddb3be023d06b91d1e659fb99750402,bitcoin-up-or-down-december-19-6pm-et,Down,BUY,0.97,102.04,98.9788,Bitcoin Up or Down - December 19. 6PM ET
1766188193,0x125152858e4972ef2fa70a30221292bf21a810969c885832ff6e0de0cf6de589,0x53757615de1c42b83f893b79d4241a009dc2aeea,boxing-jake-paul-vs-anthony-joshua,Paul,BUY,0.11,5646,621.0600000000001,Who will win Jake Paul vs Anthony Joshua?
1766188191,0x831f905f87a6e04f9f89861e87405b22c3c64395a81b9e646cf6d0dab8610be8,0x79b3e5736b39d6372d02ae0a0b5be01966e67b16,nba-mia-bos-2025-12-19,Celtics,BUY,0.729999994583907,179.095889,130.739998,Heat vs. Celtics
